Course ID,College ID,Name,Type,Description,Credits,Semester
BIO546,IIITD,Computing for Medicine,BIO,"This objective of this course is to train students in creation of computing solutions that are relevant to medicine. The course will pick timely and relevant topics in computing such as the building blocks of electronic health records, modeling and visualizing diseases, pathogen and human factors involved in spread and the ever increasing role of information management and computing in managing diseases.",4,Monsoon
BIO561,IIITD,Computer Aided Drug Design,BIO,"This course teaches the principles and practice of dug discovery, molecular mechanics and biomolecular simulations with an emphasis on the practical skills needed to perform and interpret simulations of biological macromolecules. In addition, this course will also introduce Molecular Docking technique that is essential for Computational Drug Design.",4,Winter
COM101,IIITD,Communication Skills,SSH,,4,Monsoon
COM301A,IIITD,Technical Communication,SSH,,4,Monsoon
CSE101,IIITD,Introduction to Programming,CSE,,4,Monsoon
CSE102,IIITD,Data Structures & Algorithms,CSE,,4,Winter
CSE112,IIITD,Computer Organization,CSE,,4,Winter
CSE121,IIITD,Discrete Mathematics,CSE,,4,Monsoon
CSE140,IIITD,Introduction to Intelligent Systems,CSE,,4,Winter
CSE201,IIITD,Advanced Programming,CSE,,4,Monsoon
CSE202,IIITD,Fundamentals of Database Management System,CSE,,4,Winter
CSE222,IIITD,Algorithm Design and Analysis,CSE,,4,Winter
CSE223,IIITD,Algorithm Design and Analysis,CSE,,4,Winter
CSE231,IIITD,Operating Systems,CSE,,4,Monsoon
CSE232,IIITD,Computer Networks,CSE,,4,Monsoon
CSE233,IIITD,Network Administration,CSE,,4,Winter
CSE301,IIITD,Compilers,CSE,,4,Monsoon
CSE319,IIITD,Modern Algorithm Design,CSE,,4,Monsoon
CSE320,IIITD,Advanced Algorithms,CSE,,4,Monsoon
CSE322,IIITD,Theory of Computation,CSE,,4,Winter
CSE333,IIITD,Computer Graphics,CSE,,4,Monsoon
CSE342,IIITD,Statistical Machine Learning,CSE,,4,Winter
CSE343,IIITD,Machine Learning,CSE,,4,Monsoon/Winter
CSE344,IIITD,Computer Vision,CSE,,4,Winter
CSE345,IIITD,Foundations of Computer Security,CSE,,4,Monsoon
CSE350,IIITD,Network Security,CSE,,4,Monsoon
CSE354,IIITD,Networks and System Security II,CSE,,4,Winter
CSE421,IIITD,Complexity Theory,CSE,,4,Monsoon
CSE441,IIITD,Advanced Biometrics,CSE,,4,Winter
CSE501,IIITD,Designing Human Centered Systems,CSE,,4,Monsoon
CSE502,IIITD,Foundations of Parallel Programming,CSE,,4,Winter
CSE503,IIITD,Program Analysis,CSE,,4,Monsoon
CSE504,IIITD,Decision Procedures,CSE,,4,Winter
CSE506,IIITD,Data Mining,CSE,,4,Monsoon
CSE507,IIITD,Database System Implementation,CSE,,4,Monsoon
CSE508,IIITD,Information Retrieval,CSE,,4,Winter
CSE511,IIITD,Computer Architecture,CSE,,4,Monsoon
CSE515,IIITD,Bayesian Machine Learning,CSE,,4,Monsoon
CSE516,IIITD,Theories of Deep Learning,CSE,,4,Winter
CSE523,IIITD,Randomized Algorithms,CSE,,4,Monsoon
CSE524,IIITD,Theory of Modern cryptography,CSE,,4,Monsoon
CSE525,IIITD,Introduction to Graduate Algorithms,CSE,,4,Monsoon
CSE528,IIITD,Introduction to Blockchain and Cryptocurrency,CSE,,4,Winter
CSE529,IIITD,Approximation Algorithms,CSE,,4,Winter
CSE530,IIITD,Distributed Systems Security,CSE,,4,Winter
CSE531,IIITD,Multi-Agent Systems,CSE,,4,Monsoon/Winter
CSE535,IIITD,Mobile Computing,CSE,,4,Monsoon
CSE538,IIITD,Wireless Networks,CSE,,4,Winter
CSE546,IIITD,Applied Cryptography,CSE,,4,Monsoon/Winter
CSE552,IIITD,Security Engineering,CSE,,4,Monsoon/Winter
CSE555,IIITD,Introduction to Spatial Computing,CSE,,4,Monsoon
CSE556,IIITD,Natural Language Processing,CSE,,4,Monsoon
CSE557,IIITD,Big Data Analytics,CSE,,4,Winter
CSE558,IIITD,Data Science,CSE,,4,Monsoon
CSE559,IIITD,Mining Large Networks,CSE,,4,Winter
CSE560,IIITD,GPU Computing,CSE,,4,Winter
CSE561,IIITD,Probabilistic Graphical Models,CSE,,4,Winter
CSE562,IIITD,Advanced Computer Vision,CSE,,4,Monsoon
CSE563,IIITD,Multimedia Computing and Applications,CSE,,4,Winter
CSE564,IIITD,Reinforcement Learning,CSE,,4,Monsoon
CSE565,IIITD,Software Defined Networking,CSE,,4,Monsoon
CSE566,IIITD,Mobile and Middleware Systems,CSE,,4,Monsoon
CSE570,IIITD,Virtual Reality,CSE,,4,Winter
CSE571,IIITD,Introduction to Media Computing,CSE,,4,Monsoon/Winter
CSE576,IIITD,Smart Sensing for Internet of Things (IoT),CSE,,4,Monsoon
CSE577,IIITD,Advanced Internet of Things,CSE,,4,Winter
CSE580A,IIITD,Ontology Modeling,CSE,,4,Monsoon/Winter
CSE581,IIITD,"Systems Analysis, Design and Requirements Engineering",CSE,,4,Winter
CSE582,IIITD,Software Production Evolution and Maintenance,CSE,,4,Monsoon
CSE583,IIITD,Software Development using Open Source,CSE,,4,Monsoon
CSE584,IIITD,Program Verification,CSE,,4,Monsoon
CSE5GP,IIITD,Geometry Processing,CSE,,4,Monsoon/Winter
CSE600A,IIITD,Object Oriented Programming and Design,CSE,,4,Monsoon
CSE605A,IIITD,Knowledge Graphs in Practice,CSE,,4,Monsoon
CSE606,IIITD,Data Warehouse,CSE,,4,Winter
CSE606A,IIITD,Data Lifecycle Management,CSE,,4,Monsoon
CSE609,IIITD,Statistical Computation,CSE,,4,Winter
CSE622,IIITD,Introduction to Quantum Computing,CSE,,4,Winter
CSE631,IIITD,Advanced Operating Systems,CSE,,4,Winter
CSE632,IIITD,Semantic Web,CSE,,4,Winter
CSE633,IIITD,Robotics,CSE,,4,Winter
CSE633A,IIITD,Social Robotics,CSE,,4,Winter
CSE634,IIITD,Parallel Runtimes for Modern Processors,CSE,,4,Monsoon
CSE636,IIITD,Communication Networks,CSE,,4,Winter
CSE640,IIITD,Collaborative Filtering,CSE,,4,Monsoon
CSE641,IIITD,Deep Learning,CSE,,4,Winter
CSE642,IIITD,Advanced Machine Learning,CSE,,4,Monsoon
CSE643,IIITD,Artificial Intelligence,CSE,,4,Monsoon
CSE645,IIITD,Privacy and Security in Online Social Media,CSE,,4,Winter
CSE651,IIITD,Topics in Adaptive Cybersecurity,CSE,,4,Monsoon
CSE655,IIITD,Network Science,CSE,,4,Winter
CSE656,IIITD,Information Integration and Applications,CSE,,4,Monsoon
CSE660,IIITD,Trustworthy AI systems,CSE,,4,Winter
CSE661,IIITD,Affective Computing,CSE,,4,Monsoon
CSE662A,IIITD,Special Topics in Computer Vision,CSE,,4,Winter
CSE663,IIITD,Edge AI,CSE,,4,Winter
CSE663A,IIITD,Meta-Learning,CSE,,4,Winter
CSE694F,IIITD,Multimedia Security,CSE,,4,Winter
CSE734,IIITD,Advanced Topics in Mobile Computing,CSE,,4,Winter
CSE749,IIITD,Network Anonymity and Privacy,CSE,,4,Monsoon
CSE793A,IIITD,Topics in Cryptanalysis,CSE,,4,Winter
DES101,IIITD,Design Drawing & Visualization,DES,,4,Winter
DES102,IIITD,Introduction to HCI,DES,,4,Winter
DES130,IIITD,Prototyping Interactive Systems,DES,,4,Monsoon
DES201,IIITD,Design Processes and Perspectives,DES,,4,Monsoon
DES202,IIITD,Visual Design & Communication,DES,,4,Monsoon
DES204,IIITD,Human Computer Interaction,DES,,4,Winter
DES302,IIITD,Animation and Graphics,DES,,4,Winter
DES303,IIITD,Film Making and Radio Podcasting,DES,,4,Monsoon
DES501,IIITD,Fundamentals of Audio for Engineers,DES,,4,Monsoon
DES502,IIITD,Introduction to 2D Animation,DES,,4,Winter
DES503,IIITD,Introduction to 3D Character Animation,DES,,4,Winter
DES504,IIITD,Narratives in Visual Communication,DES,,4,Winter
DES506,IIITD,Advanced topics in Human Centered Computing (ATHCC),DES,,4,Winter
DES507,IIITD,Fundamentals of Video for Engineers,DES,,4,Winter
DES512,IIITD,Game Design and Development,DES,,4,Winter
DES513,IIITD,"Wearable Applications, Research, Devices, Interactions",DES,,4,Monsoon
DES514,IIITD,Digital Audio,DES,,4,Monsoon
DES515,IIITD,Information Systems in Public Health,DES,,4,Monsoon
DES516,IIITD,Introduction to 3D Production Design for Animation and Games,DES,,4,Monsoon
DES516s,IIITD,Introduction to 3D Animation,DES,,4,Winter
DES518,IIITD,Introduction to Motion Graphics,DES,,4,Monsoon
DES519,IIITD,Design of Interactive Systems,DES,,4,Monsoon
DES520,IIITD,Human Centred AI,DES,,4,Monsoon
ECE111,IIITD,Digital Circuits,ECE,,4,Monsoon
ECE113,IIITD,Basic Electronics,ECE,,4,Winter
ECE214,IIITD,Integrated Electronics,ECE,,4,Winter
ECE215,IIITD,Circuit Theory and Devices,ECE,,4,Monsoon
ECE230,IIITD,Fields and Waves,ECE,,4,Winter
ECE240,IIITD,Principles of Communication Systems,ECE,,4,Winter
ECE250,IIITD,Signals and Systems,ECE,,4,Monsoon
ECE270,IIITD,Embedded Logic Design,ECE,,4,Monsoon
ECE314,IIITD,Digital VLSI Design,ECE,,4,Monsoon
ECE315,IIITD,Analog CMOS Circuit Design,ECE,,4,Monsoon
ECE318,IIITD,Solid State Devices,ECE,,4,Monsoon
ECE321,IIITD,RF Circuit Design,ECE,,4,Winter
ECE340,IIITD,Digital Communication Systems,ECE,,4,Monsoon
ECE343,IIITD,Mobile Communications,ECE,,4,Winter
ECE350,IIITD,Digital Image Processing,ECE,,4,Monsoon
ECE351,IIITD,Digital Signal Processing,ECE,,4,Monsoon
ECE431,IIITD,Antennas Theory and Design,ECE,,4,Monsoon
ECE432,IIITD,Radar Systems,ECE,,4,Winter
ECE452,IIITD,Statistical Signal Processing,ECE,,4,Winter
ECE501,IIITD,Probability and Random Process,ECE,,4,Monsoon
ECE510,IIITD,Digital Hardware Design,ECE,,4,Monsoon
ECE513,IIITD,VLSI Design Flow,ECE,,4,Monsoon
ECE516,IIITD,System on Chip Design and Test,ECE,,4,Monsoon
ECE517,IIITD,Introduction to Nanoelectronics,ECE,,4,Winter
ECE519,IIITD,Intelligent Applications Implementation on Heterogeneous Platforms,ECE,,4,Monsoon
ECE520,IIITD,Low Voltage Analog Circuit Design,ECE,,4,Monsoon
ECE522,IIITD,Integrated Circuit Fabrication,ECE,,4,Monsoon
ECE532,IIITD,Next Generation Optical Networks,ECE,,4,Winter
ECE533,IIITD,Satellite Navigation and Sensor Fusion,ECE,,4,Monsoon
ECE534,IIITD,Optical Communications Systems,ECE,,4,Winter
ECE536,IIITD,Optical Networking,ECE,,4,Summer
ECE537,IIITD,Wireless Communication Evolution from 3G to 5G,ECE,,4,Winter
ECE539,IIITD,Wireless System Implementation,ECE,,4,Winter
ECE543,IIITD,Principals of Digital Communication System,ECE,,4,Monsoon
ECE545,IIITD,Photonics: Fundamentals & Applications,ECE,,4,Monsoon
ECE554,IIITD,Compressive Sensing,ECE,,4,Monsoon
ECE557,IIITD,Speech Recognition and Understanding,ECE,,4,Winter
ECE558,IIITD,Transform Learning and Applications,ECE,,4,Winter
ECE559,IIITD,Modeling and Analysis of Random 5G Networks,ECE,,4,Winter
ECE570,IIITD,Control Theory,ECE,,4,Monsoon
ECE571,IIITD,Optimal Control Systems,ECE,,4,Winter
ECE573,IIITD,Advanced Embedded Logic Design,ECE,,4,Winter
ECE577,IIITD,Machine Learning Techniques for Real-time Control,ECE,,4,Winter
ECE579,IIITD,Nonlinear and Adaptive Control of Robotic Systems,ECE,,4,Monsoon
ECE581,IIITD,Autonomous Driving,ECE,,4,Winter
ECE611,IIITD,Memory Design and Testing,ECE,,4,Winter
ECE612,IIITD,Mixed Signal Design,ECE,,4,Winter
ECE672,IIITD,Stochastic Estimation and Control,ECE,,4,Winter
ECO101,IIITD,Microeconomics,SSH,,4,Winter
ECO201,IIITD,Macroeconomics,SSH,,4,Monsoon
ECO223,IIITD,Money and Banking,SSH,,4,Winter
ECO301,IIITD,Introduction to Economic Analysis,SSH,,4,Monsoon/Winter
ECO311,IIITD,Game Theory,SSH,,4,Monsoon
ECO312,IIITD,Industrial Organization,SSH,,4,Winter
ECO313,IIITD,Market Design,SSH,,4,Winter
ECO314,IIITD,Behavioural Economics,SSH,,4,Monsoon
ECO221,IIITD,Econometrics I,SSH,,4,Monsoon
ECO322,IIITD,Econometrics II,SSH,,4,Monsoon
ECO324,IIITD,Spatial Statistics and Spatial Econometrics,SSH,,4,Winter
ECO331,IIITD,Foundations of Finance,SSH,,4,Monsoon
ECO332,IIITD,Valuation and Portfolio Management,SSH,,4,Winter
ECO333,IIITD,Derivatives and Risk Management,SSH,,4,Monsoon
ECO503,IIITD,Decision Theory,SSH,,4,Monsoon
ENG599,IIITD,Research Methods,SSH,,4,Winter
ENT411,IIITD,Entrepreneurial Communication,SSH,,4,Monsoon
ENT412,IIITD,Entrepreneurial Khichadi,SSH,,4,Monsoon
ENT413,IIITD,Entrepreneurial Finance,SSH,,4,Winter
ENT414,IIITD,Relevance of Intellectual Property for Startups,SSH,,4,Winter
ENT415,IIITD,New Venture Planning,SSH,,4,Monsoon
ENT416,IIITD,"Creativity, Innovation, and Inventive Problem Solving",SSH,,4,Monsoon
ENT421,IIITD,Healthcare Innovation and Entrepreneurship Essentials,SSH,,4,Monsoon
ESC205,IIITD,Environmental Sciences,SSH,,4,Monsoon
ESC207A,IIITD,"Ecology, Evolution, and Environment",SSH,,4,Winter
MGT310,IIITD,Effective Supply Chain for E Commerce,SSH,,4,Monsoon
MGT311,IIITD,Emerging Issues in IT Management,SSH,,4,Winter
MTH100,IIITD,Linear Algebra,MTH,,4,Monsoon
MTH201,IIITD,Probability and Statistics,MTH,,4,Winter
MTH203,IIITD,Multivariate Calculus,MTH,,4,Monsoon
MTH204,IIITD,Differential Equations,MTH,,4,Monsoon
MTH210,IIITD,Discrete Structures,MTH,,4,Winter
MTH211,IIITD,Number Theory,MTH,,4,Monsoon
MTH212,IIITD,Abstract Algebra I,MTH,,4,Monsoon/Winter
MTH240,IIITD,Real Analysis I,MTH,,4,Winter
MTH270,IIITD,Numerical Methods,MTH,,4,Monsoon
MTH300,IIITD,Introduction to Mathematical Logic,MTH,,4,Winter
MTH302,IIITD,Algebra,MTH,,4,Winter
MTH310,IIITD,Graph Theory,MTH,,4,Monsoon
MTH311,IIITD,Combinatorics and its Applications,MTH,,4,Winter
MTH340,IIITD,Real Analysis-II,MTH,,4,Monsoon
MTH343,IIITD,Introduction to Dynamical Systems,MTH,,4,Winter
MTH371,IIITD,Stochastic Processes and Applications,MTH,,4,Monsoon
MTH372,IIITD,Statistical Inference,MTH,,4,Winter
MTH373,IIITD,Scientific Computing,MTH,,4,Monsoon
MTH374,IIITD,Linear Optimization,MTH,,4,Winter
MTH375,IIITD,Fluid Mechainics,MTH,,4,Monsoon
MTH510,IIITD,Advanced Linear Algebra,MTH,,4,Winter
MTH512,IIITD,Algebraic Number Theory,MTH,,4,Winter
MTH513,IIITD,Abstract Algebra II,MTH,,4,Winter
MTH514,IIITD,Coding Theory,MTH,,4,Winter
MTH516,IIITD,Analytic Number Theory,MTH,,4,Monsoon
MTH517,IIITD,Combinatorial Optimization,MTH,,4,Winter
MTH518,IIITD,Topics in Number Theory,MTH,,4,Monsoon
MTH535,IIITD,Measure and Probability Theory,MTH,,4,Winter
MTH541,IIITD,Complex Analysis,MTH,,4,Winter
MTH542,IIITD,Introduction to Functional Analysis,MTH,,4,Monsoon
MTH544,IIITD,Calculus in R^N,MTH,,4,Winter
MTH545,IIITD,Finite and Spectral Element Methods,MTH,,4,Monsoon
MTH550,IIITD,Introduction to PDE,MTH,,4,Monsoon
MTH562,IIITD,Point Set Toplogy,MTH,,4,Monsoon
MTH562A,IIITD,Point Set Toplogy,MTH,,4,Winter
MTH564A,IIITD,Introduction to Riemannian Geometry with Some Applications,MTH,,4,Winter
MTH570,IIITD,Numerical Solutions Differential Equations,MTH,,4,Monsoon
MTH571,IIITD,Integral Transforms and their Applications,MTH,,4,Winter
MTH576,IIITD,Categorical Data Analysis,MTH,,4,Winter
MTH577,IIITD,Convex Optimization,MTH,,4,Winter
MTH598,IIITD,Numerical Partial Differential Equations,MTH,,4,Monsoon
MTH599,IIITD,Variational Calculus and their Applications,MTH,,4,Winter
PSY201,IIITD,Introduction to Psychology,SSH,,4,Winter
PSY202,IIITD,Positive Psychology,SSH,,4,Winter
PSY301,IIITD,Cognitive Psychology,SSH,,4,Winter
PSY302,IIITD,Social Psychology,SSH,,4,Winter
PSY305,IIITD,Attention and Perception,SSH,,4,Monsoon
PSY306,IIITD,Learning and Memory,SSH,,4,Monsoon
PSY307,IIITD,Neuroscience of Decision Making,SSH,,4,Winter
PSY308,IIITD,Cognition of Motor Movement,SSH,,4,Monsoon
SOC101,IIITD,Introduction to Sociology and Anthropology,SSH,,4,Monsoon
SOC202,IIITD,Contemporary India: Sociological Perspective,SSH,,4,Winter
SOC204,IIITD,Sociology of New Media,SSH,,4,Monsoon
SOC205,IIITD,Anthropology and Social Media,SSH,,4,Winter
SOC206,IIITD,Business Anthropology,SSH,,4,Winter
SOC207,IIITD,Information Technology And Society,SSH,,4,Monsoon
SOC208,IIITD,Organizations An Anthropological Perspective,SSH,,4,Winter
SOC209,IIITD,Consumer Culture and Society,SSH,,4,Winter
SOC210,IIITD,Sociological Theory,SSH,,4,Monsoon
SOC211,IIITD,"Science, Technology and Society",SSH,,4,Winter
SOC212,IIITD,Key Concepts in Economic Sociology,SSH,,4,Monsoon
SOC302,IIITD,Urban Sociology,SSH,,4,Monsoon
SOC307,IIITD,Digital Social Research,SSH,,4,Monsoon
SOC308,IIITD,Gender and Media,SSH,,4,Winter
SOC311,IIITD,Advance Ethnographic Research Methods,SSH,,4,Winter
SOC312,IIITD,Advanced Sociological Theory,SSH,,4,Winter
SOC313,IIITD,Sociology of India: Themes and Perspectives,SSH,,4,Monsoon
SSH101,IIITD,Critical Thinking and Readings in Social Science,SSH,,4,Winter
SSH121,IIITD,Introduction to Philosophy,SSH,,4,Monsoon
SSH124,IIITD,Critical Thinking,SSH,,4,Monsoon
SSH201,IIITD,Research Methods in Social Science and Design,SSH,,4,Winter
SSH211,IIITD,Theatre Appreciation,SSH,,4,Winter
SSH214,IIITD,Introduction To The Study Of Literature,SSH,,4,Monsoon
SSH215,IIITD,Nation and her Narratives,SSH,,4,Winter
SSH216,IIITD,Introduction to Indian Mythology,SSH,,4,Monsoon
SSH217,IIITD,Indian Poetry Through the Ages,SSH,,4,Winter
SSH221,IIITD,Social and Political Philosophy,SSH,,4,Monsoon
SSH222,IIITD,Theory and Practice of Engineering Ethics,SSH,,4,Winter
SSH223,IIITD,Perspectives of Knowledge,SSH,,4,Winter
SSH224,IIITD,"Computer, Information Ethics and Society",SSH,,4,Monsoon
SSH261,IIITD,Democracy in India: Principles and Practices,SSH,,4,Winter
SSH300,IIITD,Theories of Ethics,SSH,,4,Winter
SSH311,IIITD,Advanced Writing,SSH,,4,Monsoon
SSH321,IIITD,Applied Ethics,SSH,,4,Winter
SSH323,IIITD,New Media and Politics,SSH,,4,Winter
SSH324,IIITD,Philosophy of Mind,SSH,,4,
SSH361,IIITD,Comparative Politics in Digital Era,SSH,,4,
SSH362,IIITD,Urban Space and Political Power,SSH,,4,Monsoon/Winter
SSH3PT,IIITD,Philosophy of Technology,SSH,,4,Winter
